klc_index,kanji,heisig,english
2,一,one,one 
3,二,two,two 
4,三,three,three 
6,四,four,four 
7,五,five,five 
8,六,six,six 
9,七,seven,seven 
10,八,eight,eight 
11,九,nine,nine 
5,十,ten,ten 
19,口,mouth,mouth 
1,日,day,"day, sun, Japan "
23,月,month,"month, moon "
20,田,rice field,"rice field, rice paddy "
21,目,eye,"eye, class, look, insight, experience, care, favor "
254,古,old,old 
24,明,bright,"bright, light "
301,品,goods,"goods, refinement, dignity, article, counter for meal courses "
143,早,early,"early, fast "
604,世,generation,"generation, world, society, public "
81,自,oneself,oneself 
76,白,white,white 
16,百,hundred,hundred 
35,中,in,"in, inside, middle, mean, center "
17,千,thousand,thousand 
580,専,specialty,"specialty, exclusive, mainly, solely "
41,上,above,"above, up "
40,下,below,"below, down, descend, give, low, inferior "
145,朝,morning,"morning, dynasty, regime, epoch, period, (North) Korea "
317,員,employee,"employee, member, number, the one in charge "
83,見,see,"see, hopes, chances, idea, opinion, look at, visible "
136,元,beginning,"beginning, former time, origin "
829,負,defeat,"defeat, negative, -, minus, bear, owe, assume a responsibility "
18,万,ten thousand,ten thousand 
169,的,bull's eye,"bull's eye, mark, target, object, adjective ending "
839,直,straightaway,"straightaway, honesty, frankness, fix, repair "
837,具,tool,"tool, utensil, means, possess, ingredients, counter for armor, suits, sets of furniture "
838,真,TRUE,"true, reality, Buddhist sect "
108,工,craft,"craft, construction "
401,左,left,left 
402,右,right,right 
400,有,possess,"possess, have, exist, happen, occur, approx "
86,切,cut,"cut, cutoff, be sharp "
625,則,rule,"rule, follow, based on, model after "
90,別,separate,"separate, branch off, diverge, fork, another, extra, specially "
437,丁,street,"street, ward, town, counter for guns, tools, leaves or cakes of something, even number, 4th calendar sign "
439,町,village,"village, town, block, street "
814,可,can,"can, passable, mustn't, should not, do not "
94,子,child,"child, sign of the rat, 11PM-1AM, first sign of Chinese zodiac "
93,女,woman,"woman, female "
95,好,fond,"fond, pleasing, like something "
104,母,mama,"mama, mother "
1193,兄,elder brother,"elder brother, big brother "
34,小,little,"little, small "
677,少,few,"few, little "
33,大,large,"large, big "
267,多,many,"many, frequent, much "
265,夕,evening,evening 
266,外,outside,outside 
269,名,name,"name, noted, distinguished, reputation "
403,石,stone,stone 
295,器,utensil,"utensil, vessel, receptacle, implement, instrument, ability, container, tool, set "
22,川,stream,"stream, river "
27,水,water,water 
208,原,meadow,"meadow, original, primitive, field, plain, prairie, tundra, wilderness "
214,願,petition,"petition, request, vow, wish, hope "
209,源,source,"source, origin "
54,活,lively,"lively, resuscitation, being helped, living "
1289,消,extinguish,"extinguish, blow out, turn off, neutralize, cancel "
1201,況,but of course,"condition, situation "
1183,泊,overnight,"overnight, put up at, ride at anchor, 3-day stay "
30,土,soil,"soil, earth, ground, Turkey "
382,寺,Buddhist temple,Buddhist temple 
383,時,time,"time, hour "
394,均,level,"level, average "
26,火,fire,fire 
349,点,spot,"spot, point, mark, speck, decimal point "
492,魚,fish,fish 
535,黒,black,black 
538,量,quantity,"quantity, measure, weight, amount, consider, estimate, surmise "
182,同,same,"same, agree, equal "
183,向,yonder,"yonder, facing, beyond, confront, defy, tend toward, approach "
98,字,character,"character, letter, word, section of village "
633,完,perfect,"perfect, completion, end "
96,安,relax,"relax, cheap, low, quiet, rested, contented, peaceful "
28,木,tree,"tree, wood "
240,林,grove,"grove, forest "
241,森,forest,"forest, woods "
651,村,town,"town, village "
682,相,inter-,"inter-, mutual, together, each other, minister of state, councillor, aspect, phase, physiognomy "
31,本,book,"book, present, main, true, real, counter for long things "
97,案,plan,"plan, suggestion, draft, ponder, fear, proposition, idea, expectation, bill, worry "
271,未,not yet,"un-, not yet, hitherto, still, even now, sign of the ram, 1-3PM, eighth sign of Chinese zodiac "
272,末,extremity,"end, close, tip, powder, posterity "
273,味,flavor,"flavor, taste "
1206,妹,younger sister,younger sister 
567,株,stocks,"stocks, stump, shares, stock, counter for small plants "
404,若,young,"young, if, perhaps, possibly, low number, immature "
1827,兆,portent,"portent, 10**12, trillion, sign, omen, symptoms "
616,状,status quo,"status quo, conditions, circumstances, form, appearance "
760,然,sort of thing,"sort of thing, so, if so, in that case, well "
116,牛,cow,cow 
385,特,special,special 
698,告,revelation,"revelation, tell, inform, announce "
134,先,before,"before, ahead, previous, future, precedence "
612,界,world,world 
603,茶,tea,tea 
227,合,fit,"fit, suit, join, 0.1 "
706,現,present,"present, existing, actual "
78,全,whole,"whole, entire, all, complete, fulfill "
532,理,logic,"logic, arrangement, reason, justice, truth "
365,主,lord,"lord, chief, master, main thing, principal "
368,注,pour,"pour, irrigate, shed (tears), flow into, concentrate on, notes, comment, annotate "
29,金,gold,gold 
158,道,road-way,"road-way, street, district, journey, course, moral, teachings "
699,造,create,"create, make, structure, physique "
125,車,car,car 
582,連,take along,"take along, lead, join, connect, party, gang, clique "
113,前,in front,"in front, before "
786,各,each,"each, every, either "
789,格,status,"status, rank, capacity, character, case (law, grammar) "
787,客,guest,"guest, visitor, customer, client "
1929,額,forehead,"forehead, tablet, plaque, framed picture, sum, amount, volume "
363,夏,summer,summer 
584,運,carry,"carry, luck, destiny, fate, lot, transport, progress, advance "
185,高,tall,"tall, high, expensive "
245,京,capital,"capital, 10**16 "
305,週,week,week 
353,売,sell,sell 
99,学,study,"study, learning, science "
325,覚,memorize,"memorize, learn, remember, awake, sober up "
79,書,write,write 
830,敗,failure,"failure, defeat, reversal "
1695,枚,sheet of,"sheet of..., counter for flat thin objects or sheets "
257,故,happenstance,"happenstance, especially, intentionally, reason, cause, circumstances, the late, therefore, consequently "
51,言,say,say 
555,計,plot,"plot, plan, scheme, measure "
53,話,tale,"tale, talk "
222,語,word,"word, speech, language "
355,読,read,read 
306,調,tune,"tune, tone, meter, key (music), writing style, prepare, exorcise, investigate "
1977,談,discuss,"discuss, talk "
109,式,style,"style, ceremony, rite, function, method, system, form, expression "
1028,試,test,"test, try, attempt, experiment, ordeal "
70,成,turn into,"turn into, become, get, grow, elapse, reach "
1148,減,dwindle,"dwindle, decrease, reduce, decline, curtail, get hungry "
42,止,stop,"stop, halt "
679,歩,walk,"walk, counter for steps "
502,企,undertake,"undertake, scheme, design, attempt, plan "
43,正,correct,"correct, justice, righteous, 10**40 "
550,証,evidence,"evidence, proof, certificate "
45,定,determine,"determine, fix, establish, decide "
140,走,run,run 
1681,題,topic,"topic, subject "
857,遠,distant,"distant, far "
710,初,first time,"first time, beginning "
205,市,market,"market, city, town "
1205,姉,elder sister,elder sister 
708,制,system,"system, law, rule "
709,製,made in...,"made in..., manufacture "
224,転,revolve,"revolve, turn around, change "
225,芸,technique,"technique, art, craft, performance, acting, trick, stunt "
154,雨,rain,rain 
360,冬,winter,winter 
270,天,heavens,"heavens, sky, imperial "
67,立,stand up,stand up 
351,商,make a deal,"make a deal, selling, dealing in, merchant "
122,北,north,north 
105,毎,every,every 
106,海,sea,"sea, ocean "
863,複,duplicate,"duplicate, double, compound, multiple "
277,欠,lack,"lack, gap, fail "
827,歌,song,"song, sing "
278,次,next,"next, order, sequence "
1165,資,assets,"assets, resources, capital, funds, data, be conducive to, contribute to "
150,音,sound,"sound, noise "
1593,暗,darkness,"darkness, disappear, shade, informal, grow dark, be blinded "
1089,識,discriminating,"discriminating, know, write "
233,亡,deceased,"deceased, the late, dying, perish "
173,方,direction,"direction, person, alternative "
1198,脱,undress,"undress, removing, escape from, get rid of, be left out, take off "
1197,説,rumor,"rumor, opinion, theory "
1223,増,increase,"increase, add, augment, gain, promote "
32,東,east,east 
2041,歳,year-end,"year-end, age, occasion, opportunity "
844,県,prefecture,prefecture 
187,地,ground,"ground, earth "
425,風,wind,"wind, air, style, manner "
427,記,scribe,"scribe, account, narrative "
155,電,electricity,electricity 
219,家,house,"house, home "
445,場,location,"location, place "
491,洋,ocean,"ocean, western style "
1475,達,accomplished,"accomplished, reach, arrive, attain "
937,差,distinction,"distinction, difference, variation, discrepancy, margin, balance "
938,着,don,"don, arrive, wear, counter for suits of clothing "
379,雑,miscellaneous,miscellaneous 
714,準,semi-,"semi-, correspond to, proportionate to, conform, imitate "
1133,確,assurance,"assurance, firm, tight, hard, solid, confirm, clear, evident "
115,午,noon,"noon, sign of the horse, 11AM-1PM, seventh sign of Chinese zodiac "
420,習,learn,learn 
25,曜,weekday,weekday 
75,国,country,country 
1725,因,cause,"cause, factor, be associated with, depend on, be limited to "
856,園,park,"park, garden, yard, farm "
50,回,-times,"-times, round, game, revolve, counter for occurrences "
347,店,store,"store, shop "
56,心,heart,"heart, mind, spirit "
1062,忘,forget,forget 
1096,認,acknowledge,"acknowledge, witness, discern, recognize, appreciate, believe "
370,誌,document,"document, records "
142,思,think,think 
850,応,apply,"apply, answer, yes, OK, reply, accept "
151,意,idea,"idea, mind, heart, taste, thought, desire, care, liking "
1556,息,breath,"breath, respiration, son, interest (on money) "
1063,忙,busy,"busy, occupied, restless "
1912,慣,accustomed,"accustomed, get used to, become experienced "
620,憶,recollection,"recollection, think, remember "
549,必,invariably,"invariably, certain, inevitable "
46,手,hand,hand 
926,義,righteousness,"righteousness, justice, morality, honor, loyalty, meaning "
927,議,deliberation,"deliberation, consultation, debate, consideration "
1025,打,strike,"strike, hit, knock, pound, dozen "
932,指,finger,"finger, point to, indicate, put into, play (chess), measure (ruler) "
384,持,hold,"hold, have "
1679,提,propose,"propose, take along, carry in hand "
1394,担,shouldering,"shouldering, carry, raise, bear "
847,接,touch,"touch, contact, adjoin, piece together "
724,研,polish,"polish, study of, sharpen "
474,械,contraption,"contraption, fetter, machine, instrument "
723,型,mould,"mould, type, model "
652,才,genius,"genius, years old, cubic shaku "
654,材,lumber,"lumber, log, timber, wood, talent "
407,存,suppose,"suppose, be aware of, believe, feel "
406,在,exist,"exist, outskirts, suburbs, located in "
889,更,grow late,"grow late, night watch, sit up late, of course "
399,友,friend,friend 
517,投,throw,"throw, discard, abandon, launch into, join, invest in, hurl, give up, sell at a loss "
520,設,establishment,"establishment, provision, prepare "
373,支,branch,"branch, support, sustain "
966,技,skill,"skill, art, craft, ability, feat, performance, vocation, arts "
1256,軽,lightly,"lightly, trifling, unimportant "
374,反,anti-,anti- 
378,返,return,"return, answer, fade, repay "
925,販,marketing,"marketing, sell, trade "
988,菜,vegetable,"vegetable, side dish, greens "
65,受,accept,"accept, undergo, answer (phone), take, get, catch, receive "
812,払,pay,"pay, clear out, prune, banish, dispose of "
238,広,wide,"wide, broad, spacious "
949,台,pedestal,"pedestal, a stand, counter for machines and vehicles "
956,始,commence,"commence, begin "
558,窓,window,"window, pane "
138,去,gone,"gone, past, quit, leave, elapse, eliminate, divorce "
139,法,method,"method, law, rule, principle, model, system "
226,会,meeting,"meeting, meet, party, association, interview, join "
253,室,room,"room, apartment, chamber, greenhouse, cellar "
489,育,bring up,"bring up, grow up, raise, rear "
38,出,exit,"exit, leave "
37,山,mountain,mountain 
39,入,enter,"enter, insert "
192,込,crowded,"crowded, mixture, in bulk, included, (kokuji) "
88,分,part,"part, minute of time, segment, share, degree, one's lot, duty, understand, know, rate, 1%, chances, shaku/100 "
89,公,public,"public, prince, official, governmental "
1035,欲,longing,"longing, covetousness, greed, passion, desire, craving "
321,常,usual,"usual, ordinary, normal, regular "
1583,残,remainder,"remainder, leftover, balance "
716,死,death,"death, die "
57,耳,ear,ear 
59,取,take,"take, fetch, take up "
196,最,utmost,"utmost, most, extreme "
352,買,buy,buy 
624,規,standard,"standard, measure "
1166,賛,approve,"approve, praise, title or inscription on picture, assist, agree with "
563,失,lose,"lose, error, fault, disadvantage, loss "
564,鉄,iron,iron 
84,力,power,"power, strong, strain, bear up, exert "
92,男,male,male 
1046,功,achievement,"achievement, merits, success, honor, credit "
543,協,co-,"co-, cooperation "
55,行,going,"going, journey "
1607,律,rhythm,"rhythm, law, regulation, gauge, control "
870,徒,junior,"junior, emptiness, vanity, futility, uselessness, ephemeral thing, gang, set, party, people "
386,待,wait,"wait, depend on "
597,彼,he,"he, that, the "
518,役,duty,"duty, war, campaign, drafted labor, office, service, role "
1195,税,tax,"tax, duty "
236,和,harmony,"harmony, Japanese style, peace, soften, Japan "
860,移,shift,"shift, move, change, drift, catch (cold, fire), pass into "
1745,秒,second,second (1/60 minute) 
364,秋,autumn,autumn 
237,私,private,"private, I, me "
412,利,profit,"profit, advantage, benefit "
395,季,seasons,seasons 
234,米,rice,"rice, USA, metre "
309,数,number,"number, strength, fate, law, figures "
310,類,sort,"sort, kind, variety, class, genus "
501,様,Esq.,"Esq., way, manner, situation, polite suffix "
1097,求,request,"request, want, wish for, require, demand "
393,等,etc.,"etc., and so forth, class (first), quality, equal, similar "
980,算,calculate,"calculate, divining, number, abacus, probability "
981,答,solution,"solution, answer "
15,人,person,person 
366,住,dwell,"dwell, reside, live, inhabit "
62,体,body,"body, substance, object, reality, counter for images "
371,仕,attend,"attend, doing, official, serve "
189,他,other,"other, another, the others "
61,休,rest,"rest, day off, retire, sleep "
63,信,faith,"faith, truth, fidelity, trust "
701,依,reliant,"reliant, depend on, consequently, therefore, due to "
262,個,individual,"individual, counter for articles and military units "
842,値,price,"price, cost, value "
622,億,hundred million,"hundred million, 10**8 "
887,使,use,use 
890,便,convenience,convenience 
292,宿,inn,"inn, lodging, relay station, dwell, lodge, be pregnant, home, dwelling "
646,保,protect,"protect, guarantee, keep, preserve, sustain, support "
982,符,token,"token, sign, mark, tally, charm "
1162,賃,fare,"fare, fee, hire, rent, wages, charge "
71,代,substitute,"substitute, change, convert, replace, period, age, generation, charge, rate, fee "
1163,貸,lend,lend 
120,化,change,"change, take the form of, influence, enchant, delude, -ization "
121,花,flower,flower 
815,何,what,what 
817,荷,baggage,"baggage, shoulder-pole load, bear (a burden), shoulder (a gun), load, cargo, freight "
215,内,inside,"inside, within, between, among, house, home "
216,肉,meat,meat 
749,座,sit,"squat, seat, cushion, gathering, sit "
66,以,by means of,"by means of, because, in view of, compared with "
1354,似,similar,"becoming, resemble, counterfeit, imitate, suitable "
1243,営,occupation,"occupation, camp, perform, build, conduct (business) "
117,年,year,year 
467,夜,night,"night, evening "
571,施,alms,"alms, apply bandages, administer first-aid "
570,遊,play,play 
569,旅,trip,"trip, travel "
172,物,thing,"thing, object, matter "
252,屋,roof,"roof, house, shop, dealer, seller "
256,局,bureau,"bureau, board, office, affair, conclusion, court lady, lady-in-waiting, her apartment "
1144,遅,slow,"slow, late, back, later "
466,昼,daytime,"daytime, noon "
311,示,show,"show, indicate, point out, express, display "
314,社,company,"company, firm, office, association, shrine "
312,禁,prohibition,"prohibition, ban, forbid "
637,祭,ritual,"ritual, offer prayers, celebrate, deify, enshrine, worship "
639,察,guess,"guess, presume, surmise, judge, understand "
432,由,wherefore,"wherefore, a reason "
1528,届,deliver,"deliver, reach, arrive, report, notify, forward "
1525,押,push,"push, stop, check, subdue, attach, seize, weight, shove, press, seal, do in spite of "
315,申,speaketh,"have the honor to, sign of the monkey, 3-5PM, ninth sign of Chinese zodiac "
599,果,fruit,"fruit, reward, carry out, achieve, complete, end, finish, succeed "
600,課,chapter,"chapter, lesson, section, department, division, counter for chapters (of a book) "
249,所,place,place 
194,近,near,"near, early, akin, tantamount "
318,質,substance,"substance, quality, matter, temperament "
153,昨,yesterday,"yesterday, previous "
152,作,make,"make, production, prepare, build "
899,雪,snow,snow 
608,録,record,record 
971,急,hurry,"hurry, emergency, sudden, steep "
141,当,hit,"hit, right, appropriate, himself "
80,事,matter,"matter, thing, fact, business, reason, possibly "
179,満,full,"full, enough, pride, satisfy "
176,画,brush stroke,"brush-stroke, picture "
674,歯,tooth,"tooth, cog "
503,曲,bend,"bend, music, melody, composition, pleasure, injustice, fault, curve, crooked, perverse, lean "
758,料,fee,"fee, materials "
759,科,department,"department, course, section "
298,図,map,"map, drawing, plan, unexpected, accidentally "
47,用,utilize,"utilize, business, service, use, employ "
715,備,equip,"equip, provision, preparation "
359,昔,once upon a time,"once upon a time, antiquity, old times "
1220,借,borrow,"borrow, rent "
279,席,seat,"seat, mat, occasion, place "
280,度,degrees,"degrees, occurrence, time, counter for occurrences "
281,渡,transit,"transit, ford, ferry, cross, import, deliver, diameter, migrate "
335,半,half,"half, middle, odd number, semi-, part- "
456,券,ticket,ticket 
460,勝,victory,"victory, win, prevail, excel "
49,不,negative,"negative, non-, bad, ugly, clumsy "
1696,杯,cupfuls,"counter for cupfuls, wine glass, glass, toast "
568,族,tribe,"tribe, family "
560,知,know,"know, wisdom "
1018,帰,homecoming,"homecoming, arrive at, lead to, result in "
422,引,pull,"pull, tug, jerk, admit, install, quote, refer to "
423,強,strong,strong 
424,弱,weak,"weak, frail "
1189,費,expense,"expense, cost, spend, consume, waste "
1191,第,No.,"No., residence "
1190,弟,younger brother,"younger brother, faithful service to elders "
300,号,nickname,"nickname, number, item, title, pseudonym, name, call "
859,写,copy,"copy, be photographed, describe "
628,考,consider,"consider, think over "
632,教,teach,"teach, faith, doctrine "
107,者,someone,"someone, person "
1444,暑,sultry,"sultry, hot, summer heat "
100,父,father,father 
102,交,mingle,"mingle, mixing, association, coming & going "
1413,効,merit,"merit, efficacy, efficiency, benefit "
103,校,exam,"exam, school, printing, proof, correction "
44,足,leg,"leg, foot, be sufficient, counter for pairs of footwear "
788,路,path,"path, route, road, distance "
464,過,overdo,"overdo, exceed, go beyond, error "
638,際,occasion,"occasion, side, edge, verge, dangerous, adventurous, indecent, time, when "
634,院,Inst.,"Inst., institution, temple, mansion, school "
1377,降,descend,"descend, precipitate, fall, surrender "
1430,階,story,"storey, stair, counter for storeys of a building "
398,空,empty,"empty, sky, void, vacant, vacuum "
1710,究,research,"research, study "
210,線,line,"line, track "
2062,練,practice,"practice, gloss, train, drill, polish, refine "
354,続,continue,"continue, series, sequel "
525,絵,picture,"picture, drawing, painting, sketch "
790,絡,entwine,"entwine, coil around, get caught in "
516,結,tie,"tie, bind, contract, join, organize, do up hair, fasten "
957,終,end,"end, finish "
1257,経,sutra,"sutra, longitude, pass thru, expire, warp "
170,約,promise,"promise, approximately, shrink "
114,後,behind,"behind, back, later "
473,機,mechanism,"mechanism, opportunity, occasion, machine, airplane "
1078,係,person in charge,"person in charge, connection, duty, concern oneself "
862,御,honorable,"honorable, manipulate, govern "
1471,服,clothing,"clothing, admit, obey, discharge "
159,通,traffic,"traffic, pass through, avenue, commute, counter for letters "
726,危,dangerous,"dangerous, fear, uneasy "
797,酒,sake,"sake, alcohol "
1625,酔,drunk,"drunk, feel sick, poisoned, elated, spellbound "
799,配,distribute,"distribute, spouse, exile, rationing "
562,短,short,"short, brevity, fault, defect, weak point "
199,温,warm,warm 
283,銀,silver,silver 
391,節,node,"node, season, period, occasion, verse, clause, stanza, honor, joint, knuckle, knob, knot, tune, melody "
282,限,limit,"limit, restrict, to best of ability "
285,良,good,"good, pleasing, skilled "
2200,娘,daughter,"daughter, girl "
288,食,eat,"eat, food "
377,飯,meal,"meal, boiled rice "
289,飲,drink,"drink, smoke, take "
291,館,Bldg.,"building, mansion, large building, palace "
334,平,even,"even, flat, peace "
275,新,new,new 
276,親,parent,"parent, intimacy, relative, familiarity, dealer (cards) "
1472,報,report,"report, news, reward, retribution "
1155,収,income,"income, obtain, reap, pay, supply, store "
1435,熱,heat,"heat, temperature, fever, mania, passion "
993,術,art,"art, technique, skill, means, trick, resources, magic "
361,寒,cold,cold 
130,青,blue,"blue, green "
977,請,solicit,"solicit, invite, ask "
973,情,feelings,"feelings, emotion, passion, sympathy, circumstances, facts "
975,晴,clear up,clear up 
705,表,surface,"surface, table, chart, diagram "
416,割,proportion,"proportion, comparatively, divide, cut, separate, split "
36,生,life,"life, genuine, birth "
128,性,sex,"sex, gender, nature "
181,産,products,"products, bear, give birth, yield, childbirth, native, property "
362,春,springtime,"springtime, spring (season) "
499,実,reality,"reality, truth "
1730,漢,Sino-,"Sino-, China "
712,難,difficult,"difficult, impossible, trouble, accident, defect "
1005,乗,ride,"ride, power, multiplication, record, counter for vehicles, board, mount, join "
228,今,now,now 
163,予,beforehand,"beforehand, previous, myself, I "
534,野,plains,"plains, field, rustic, civilian life "
795,西,west,"west, Spain "
548,価,value,"value, price "
547,要,need,"need, main point, essence, pivot, key to "
782,票,ballot,"ballot, label, ticket, sign "
783,標,signpost,"signpost, seal, mark, stamp, imprint, symbol, emblem, trademark, evidence, souvenir, target "
768,煙,smoke,smoke 
794,南,south,south 
447,門,gates,gates 
452,問,question,"question, ask, problem "
448,間,interval,"interval, space "
463,簡,simplicity,"simplicity, brevity "
450,開,open,"open, unfold, unseal "
449,閉,closed,"closed, shut "
453,聞,hear,"hear, ask, listen "
738,非,un-,"un-, mistake, negative, injustice, non- "
330,決,decide,"decide, fix, agree upon, appoint "
663,違,difference,"difference, differ "
307,束,bundle,"bundle, sheaf, ream, tie in bundles, govern, manage, control "
1930,頼,trust,"trust, request "
1143,速,quick,"quick, fast "
308,整,organize,"organize, arranging, tune, tone, meter, key (music) "
1031,険,precipitous,"precipitous, inaccessible place, impregnable position, steep place, sharp eyes "
1029,検,examination,"examination, investigate "
539,重,heavy,"heavy, heap up, pile up, nest of boxes, -fold "
540,動,move,"move, motion, change, confusion, shift, shake "
541,働,work,"work, (kokuji) "
544,種,species,"species, kind, class, variety, seed "
617,病,ill,"ill, sick "
1948,疲,tired,"exhausted, tire, weary "
619,痛,pain,"pain, hurt, damage, bruise "
561,医,doctor,"doctor, medicine "
297,区,ward,"ward, district "
1054,登,ascend,"ascend, climb up "
148,発,discharge,"discharge, departure, publish, emit, start from, disclose "
147,形,shape,"shape, form, style "
101,文,sentence,"sentence, literature, style, art, decoration, figures, plan "
650,対,vis-a-vis,"vis-a-vis, opposite, even, equal, versus, anti-, compare "
1260,済,finish,"finish, come to an end, excusable, need not "
302,楽,music,"music, comfort, ease "
303,薬,medicine,"medicine, chemical, enamel, gunpowder, benefit "
752,率,ratio,"ratio, rate, proportion, %, coefficient, factor "
332,英,England,"England, English "
329,映,reflect,"reflect, reflection, projection "
774,赤,red,red 
775,変,unusual,"unusual, change, strange "
528,色,color,color 
486,期,period,"period, time, date, term "
485,基,fundamentals,"fundamentals, radical (chem), counter for machines, foundation "
48,無,nothingness,"nothingness, none, ain't, nothing, nil, not "
